epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.965,3.61174,6.23204,2.08055,0.12037,0.10714,0.05375,0.02082,2.74834,8.68363,1.58377,0.00048,0.00048,0.00048
2,259.1,2.77655,2.97666,1.58771,0.29226,0.23571,0.16305,0.0565,2.30545,3.84108,1.47465,0.000960596,0.000960596,0.000960596
3,396.201,2.46197,2.63231,1.42544,0.20652,0.17857,0.11572,0.03298,2.30298,5.39583,1.58344,0.00142139,0.00142139,0.00142139
4,527.711,2.39361,2.23904,1.41915,0.26892,0.19286,0.13285,0.0367,2.41797,7.28286,1.69132,0.00186239,0.00186239,0.00186239
5,660.57,2.29862,1.97576,1.36738,0.20575,0.38571,0.18523,0.0741,2.08548,12.9795,1.42875,0.0018416,0.0018416,0.0018416
6,792.022,2.21747,1.90613,1.35701,0.27046,0.25,0.16927,0.07588,2.14285,8.75443,1.55421,0.001802,0.001802,0.001802
7,926.944,2.1596,1.74381,1.27816,0.45309,0.38571,0.3623,0.15004,2.11813,2.56849,1.4471,0.0017624,0.0017624,0.0017624
8,1060,2.16866,1.75659,1.31741,0.47978,0.38868,0.37777,0.17294,1.97242,2.27079,1.39452,0.0017228,0.0017228,0.0017228
9,1193.67,2.15039,1.7244,1.3136,0.49876,0.35,0.32939,0.14484,2.05743,2.50992,1.38616,0.0016832,0.0016832,0.0016832
10,1327.06,2.07262,1.71504,1.28251,0.51611,0.35714,0.35249,0.13991,2.01024,2.15478,1.32969,0.0016436,0.0016436,0.0016436
11,1459.57,2.13957,1.69137,1.30803,0.37295,0.38571,0.31981,0.14427,1.9241,2.06899,1.29445,0.001604,0.001604,0.001604
12,1591.57,2.04017,1.64923,1.23205,0.55515,0.35714,0.37013,0.17595,1.82473,1.87335,1.30771,0.0015644,0.0015644,0.0015644
13,1724,1.95927,1.50003,1.21889,0.53556,0.42143,0.44774,0.20428,1.85563,1.55865,1.30935,0.0015248,0.0015248,0.0015248
14,1855.85,2.02961,1.50943,1.24197,0.50996,0.4,0.34696,0.16494,2.00792,2.14819,1.35414,0.0014852,0.0014852,0.0014852
15,1987.5,2.03311,1.47888,1.23481,0.59948,0.41429,0.46583,0.21948,1.86076,2.00253,1.2741,0.0014456,0.0014456,0.0014456
16,2118.69,1.98194,1.44922,1.21554,0.46521,0.27857,0.25563,0.1172,2.22712,1.94598,1.46284,0.001406,0.001406,0.001406
17,2249.82,1.95289,1.34871,1.21315,0.58109,0.44286,0.4413,0.22268,1.82661,1.78397,1.30627,0.0013664,0.0013664,0.0013664
18,2382.3,1.87376,1.35017,1.19964,0.56663,0.52143,0.51232,0.24668,1.81196,1.57395,1.26367,0.0013268,0.0013268,0.0013268
19,2514.27,1.89027,1.40729,1.15496,0.60336,0.44551,0.47663,0.21667,1.94722,1.65758,1.29653,0.0012872,0.0012872,0.0012872
20,2644.82,1.86414,1.40506,1.21586,0.61894,0.44286,0.49574,0.25684,1.71507,1.59856,1.24432,0.0012476,0.0012476,0.0012476
21,2775.53,1.80813,1.19429,1.16404,0.69554,0.47143,0.525,0.27075,1.7722,1.45675,1.25535,0.001208,0.001208,0.001208
22,2906.79,1.82764,1.24613,1.19942,0.70509,0.47857,0.54489,0.26714,1.84523,1.46713,1.27946,0.0011684,0.0011684,0.0011684
23,3037.27,1.8354,1.31049,1.12865,0.59128,0.40714,0.42428,0.18997,2.02375,1.64629,1.33133,0.0011288,0.0011288,0.0011288
24,3167.46,1.80779,1.21246,1.12809,0.62188,0.52857,0.55105,0.30093,1.69524,1.47573,1.23499,0.0010892,0.0010892,0.0010892
25,3298.13,1.71668,1.13024,1.13815,0.57729,0.54286,0.53942,0.28757,1.68731,1.33907,1.21974,0.0010496,0.0010496,0.0010496
